Date,Open,High,Low,Close*
"Mar 03, 2022","16,723.20","16,768.95","16,442.95","16,498.05"
"Mar 02, 2022","16,593.10","16,678.50","16,478.65","16,605.95"
"Feb 28, 2022","16,481.60","16,815.90","16,356.30","16,793.90"
"Feb 25, 2022","16,515.65","16,748.80","16,478.30","16,658.40"
"Feb 24, 2022","16,548.90","16,705.25","16,203.25","16,247.95"
"Feb 23, 2022","17,194.50","17,220.70","17,027.85","17,063.25"
"Feb 22, 2022","16,847.95","17,148.55","16,843.80","17,092.20"
"Feb 21, 2022","17,192.25","17,351.05","17,070.70","17,206.65"
"Feb 18, 2022","17,236.05","17,380.80","17,219.20","17,276.30"
"Feb 17, 2022","17,396.55","17,442.90","17,235.85","17,304.60"
"Feb 16, 2022","17,408.45","17,490.60","17,257.70","17,322.20"
"Feb 15, 2022","16,933.25","17,375.00","16,839.25","17,352.45"
"Feb 14, 2022","17,076.15","17,099.50","16,809.65","16,842.80"
"Feb 11, 2022","17,451.00","17,454.75","17,303.00","17,374.75"
"Feb 10, 2022","17,554.10","17,639.45","17,427.15","17,605.85"
"Feb 09, 2022","17,370.10","17,477.15","17,339.00","17,463.80"
"Feb 08, 2022","17,279.85","17,306.45","17,043.65","17,266.75"
"Feb 07, 2022","17,456.30","17,536.75","17,119.40","17,213.60"
"Feb 04, 2022","17,590.20","17,617.80","17,462.55","17,516.30"
"Feb 03, 2022","17,767.75","17,781.15","17,511.15","17,560.20"
"Feb 02, 2022","17,706.20","17,794.60","17,674.80","17,780.00"
"Feb 01, 2022","17,529.45","17,622.40","17,244.55","17,576.85"
"Jan 31, 2022","17,301.05","17,410.00","17,264.15","17,339.85"
"Jan 28, 2022","17,208.30","17,373.50","17,077.10","17,101.95"
"Jan 27, 2022","17,062.00","17,182.50","16,866.75","17,110.15"
"Jan 25, 2022","17,001.55","17,309.15","16,836.80","17,277.95"
"Jan 24, 2022","17,575.15","17,599.40","16,997.85","17,149.10"
"Jan 21, 2022","17,613.70","17,707.60","17,485.85","17,617.15"
"Jan 20, 2022","17,921.00","17,943.70","17,648.45","17,757.00"
"Jan 19, 2022","18,129.20","18,129.20","17,884.90","17,938.40"
"Jan 18, 2022","18,337.20","18,350.95","18,085.90","18,113.05"
"Jan 17, 2022","18,235.65","18,321.55","18,228.75","18,308.10"
"Jan 14, 2022","18,185.00","18,286.95","18,119.65","18,255.75"
"Jan 13, 2022","18,257.00","18,272.25","18,163.80","18,257.80"
"Jan 12, 2022","18,170.40","18,227.95","18,128.80","18,212.35"
"Jan 11, 2022","17,997.75","18,081.25","17,964.40","18,055.75"
"Jan 10, 2022","17,913.30","18,017.45","17,879.15","18,003.30"
"Jan 07, 2022","17,797.60","17,905.00","17,704.55","17,812.70"
"Jan 06, 2022","17,768.50","17,797.95","17,655.55","17,745.90"
"Jan 05, 2022","17,820.10","17,944.70","17,748.85","17,925.25"
"Jan 04, 2022","17,681.40","17,827.60","17,593.55","17,805.25"
"Jan 03, 2022","17,387.15","17,646.65","17,383.30","17,625.70"
"Dec 31, 2021","17,244.50","17,400.80","17,238.50","17,354.05"
"Dec 30, 2021","17,201.45","17,264.05","17,146.35","17,203.95"
"Dec 29, 2021","17,220.10","17,285.95","17,176.65","17,213.60"
"Dec 28, 2021","17,177.60","17,250.25","17,161.15","17,233.25"
"Dec 27, 2021","16,937.75","17,112.05","16,833.20","17,086.25"
"Dec 24, 2021","17,149.50","17,155.60","16,909.60","17,003.75"
"Dec 23, 2021","17,066.80","17,118.65","17,015.55","17,072.60"
"Dec 22, 2021","16,865.55","16,971.00","16,819.50","16,955.45"
"Dec 21, 2021","16,773.15","16,936.40","16,688.25","16,770.85"
"Dec 20, 2021","16,824.25","16,840.10","16,410.20","16,614.20"
"Dec 17, 2021","17,276.00","17,298.15","16,966.45","16,985.20"
"Dec 16, 2021","17,373.00","17,379.35","17,184.95","17,248.40"
"Dec 15, 2021","17,323.65","17,351.20","17,192.20","17,221.40"
"Dec 14, 2021","17,283.20","17,376.20","17,225.80","17,324.90"
"Dec 13, 2021","17,619.10","17,639.50","17,355.95","17,368.25"
"Dec 10, 2021","17,476.05","17,534.35","17,405.25","17,511.30"
"Dec 09, 2021","17,524.40","17,543.25","17,379.60","17,516.85"
"Dec 08, 2021","17,315.25","17,484.60","17,308.95","17,469.75"
"Dec 07, 2021","17,044.10","17,251.65","16,987.75","17,176.70"
"Dec 06, 2021","17,209.05","17,216.75","16,891.70","16,912.25"
"Dec 03, 2021","17,424.90","17,489.80","17,180.80","17,196.70"
"Dec 02, 2021","17,183.20","17,420.35","17,149.30","17,401.65"
"Dec 01, 2021","17,104.40","17,213.05","17,064.25","17,166.90"
"Nov 30, 2021","17,051.15","17,324.65","16,931.40","16,983.20"
"Nov 29, 2021","17,055.80","17,160.70","16,782.40","17,053.95"
